,Name,Excellent,Very_Good,Average,Poor,Terrible
0,"Marriott Vacation Club Pulse at Custom House, Boston",507,175,13,13,12
1,Boston Harbor Hotel,"1,279",228,55,20,15
2,Seaport Boston Hotel,"3,082",733,130,50,37
3,Four Seasons Hotel Boston,"1,132",197,53,27,16
4,Lenox Hotel,"2,183",549,120,45,20
5,Courtyard Boston Copley Square,"1,056",373,61,16,15
6,InterContinental Boston,"2,114",708,173,69,61
7,Hotel Commonwealth,"3,109",574,126,50,22
8,"Mandarin Oriental, Boston",434,82,34,9,8
9,Residence Inn Boston Back Bay/Fenway,887,288,54,15,7
10,Eliot Hotel,669,251,71,36,24
11,XV Beacon,759,169,37,30,14
12,Residence Inn Boston Downtown/Seaport,279,99,13,9,3
13,Kimpton Nine Zero Hotel,"1,492",586,126,32,26
14,Hilton Garden Inn Boston Logan Airport,471,120,23,8,2
15,The Verb Hotel,918,318,74,20,14
16,The Godfrey Hotel Boston,956,309,89,33,12
17,enVision Hotel Boston - Longwood,358,138,33,9,2
18,"The Langham, Boston","1,126",490,142,50,34
19,Loews Boston Hotel,781,345,85,21,8
20,The Boxer Boston,496,235,63,16,10
21,Colonnade Hotel,"1,737",642,196,75,54
22,Residence Inn Boston Harbor on Tudor Wharf,422,256,60,17,6
23,"Fairmont Copley Plaza, Boston","1,476",582,221,96,43
24,Copley Square Hotel,763,474,130,38,21
25,W Boston,757,357,148,68,38
26,The Bostonian Boston,636,474,145,60,38
27,Taj Boston,978,539,215,111,59
28,"The Westin Copley Place, Boston","1,619","1,052",365,122,53
29,Newbury Guest House,217,194,50,20,16
30,"The Ritz-Carlton, Boston",350,117,52,35,6
31,"The Envoy Hotel, Autograph Collection",184,72,29,22,4
32,Hyatt Regency Boston Harbor,905,642,222,99,46
33,Hyatt Regency Boston,"1,184",971,441,160,72
34,Kimpton Onyx Hotel,603,399,129,51,23
35,Boston Marriott Long Wharf,897,629,193,78,32
36,"The Liberty, A Luxury Collection Hotel",124,65,20,10,8
37,The Westin Boston Waterfront,943,856,316,102,59
38,Revere Hotel Boston Common,"1,626",938,308,78,52
39,"Ames Boston Hotel, Curio Collection by Hilton",535,318,108,46,15
40,The Inn At St Botolph,350,115,25,10,2
41,"Battery Wharf Hotel, Boston Waterfront",681,250,107,30,19
42,Renaissance Boston Waterfront Hotel,473,501,138,43,20
43,Omni Parker House,"2,861","1,959",794,341,166
44,DoubleTree by Hilton Hotel Boston - Downtown,462,375,147,42,21
45,Sheraton Boston Hotel,659,612,220,51,52
46,Club Quarters Hotel in Boston,683,496,181,66,50
47,Harborside Inn,473,554,126,53,47
48,Charlesmark Hotel,359,322,67,35,19
49,Boston Marriott Copley Place,821,"1,152",411,124,50
50,DoubleTree Suites by Hilton Boston-Cambridge,570,569,208,79,55
51,Hotel 140,603,649,235,94,58
52,The Inn at Longwood Medical,476,247,133,65,51
53,Holiday Inn Express Boston,171,280,99,30,25
54,Hilton Boston Back Bay,828,923,387,135,59
55,Boston Park Plaza,390,312,141,75,32
56,Embassy Suites by Hilton Boston - at Logan Airport,697,697,343,106,66
57,Hilton Boston Downtown / Faneuil Hall,556,570,244,90,63
58,Hilton Boston Logan Airport,977,"1,178",452,142,83
59,DoubleTree Club by Hilton Hotel Boston Bayside,406,466,276,105,52
60,Element Boston Seaport,43,28,6,2,1
61,Hampton Inn & Suites Boston Crosstown Center,343,325,164,67,39
62,Chandler Inn,283,439,128,53,32
63,Wyndham Boston Beacon Hill,581,679,357,125,66
64,Copley House,150,193,89,37,41
65,Boston Hotel Buckminster,303,494,233,95,96
66,The Midtown Hotel,583,"1,218",630,202,89
67,Aloft Boston Seaport,55,67,19,10,8
68,Holiday Inn Express Hotel & Suites Boston Garden,130,173,87,35,23
69,Courtyard Boston Downtown,34,42,22,7,1
70,Courtyard Boston Logan Airport,150,250,149,48,29
71,Courtyard Boston-South Boston,126,209,71,32,16
72,Beacon Hill Hotel and Bistro,93,62,19,14,6
73,BEST WESTERN PLUS Roundhouse Suites,239,343,162,93,57
74,Comfort Inn - Boston,52,71,46,17,18
75,Hotel Boston,130,182,104,49,32
76,Ramada Boston,45,80,83,45,43
77,Milner Hotel,29,124,103,46,67
78,The Boston Common Hotel and Conference Center,61,203,205,97,58
79,Constitution Inn,75,160,147,96,86
80,Americas Best Value Inn,2,4,8,1,5
81,Days Hotel Boston-Harvard Fenway,25,57,100,76,56
